,OBO_V_BG_2022,OGV_V_BG_2022,VNP_H_CG_2022,OGV_V_SP_2019,GVB_V_BG_2022,BPN_H_CG_2022,BGB_H_SP_2019,BGB_H_SP_2019,BGB_H_SP_2019,BTN_V_SP_2019,VBV_V_BG_2022,MN_V_BG_2022,GOM_V_SP_2019,VMO_V_BG_2022,VMT_V_WO_2019,GNG_V_BG_2022,VNT_V_WO_2019,BMO2_V_SP_2019,BMO2_V_SP_2019,BGTO_V_SP_2019,BPO_V_SP_2019,GPG_H_CG_2022,BMO1_V_SP_2019,GBP_H_CG_2022,UK3_NU_2019,UK4_NU_2019,VTP_V_WO_2019,PBV_H_CG_2022,VTG_V_WO_2019,NBO_V_BG_2022,PBG_H_CG_2022,OMP_V_BA_2019,OMB_V_BA_2019,VPO_V_BA_2019,Polly_WT,BGO_V_BA_2019,PMmiddle_CG_2022,OPB_V_BA_2019,OPB_V_BA_2019,GO_H_BG_2019,Heidi_2019,PGV_H_CG_2022,GOT_H_BG_2019,Lawrence_WT,Atticus_WT,GVO_H_BG_2019,Monster_WT,PVB_H_CG_2022,TG_H_CG_2019,TNG_H_CG_2019,TNG_H_CG_2019,TVT_H_CG_2019,VNT_H_CG_2019,VNT_H_CG_2019,VPB_H_CG_2019,OGV_V_SP_2019,VNG_V_BG_2022,VPG_H_CG_2019,VPN_H_CG_2019,VPNT_H_CG_2019,VPO_H_CG_2019,VPT_H_CG_2019,VTO_H_CG_2019,PGB_H_CG_2022,P_H_CG_2019,NOP_H_CG_2019,PNG_H_CG_2019,TOG_H_CG_2019,VBP_H_CG_2019,VG_H_CG_2019,VNP_H_CG_2019,VOV_H_CG_2019,TNP_H_CG_2019,GPN_H_CG_2022,TGV_H_CG_2019,TV_H_CG_2019,PVBN_H_CG_2022,VPNT_H_CG_2019,Shakespeare_WT,PNV_V_NB_2019,PVO_V_NB_2019,PVO_V_NB_2019,BGT1_V_SP_2019,PMV_V_NB_2019,GNT_V_NB_2019,GNV_V_NB_2019,BGN_V_BA_2019,PVNBsm_CG_2022,BTO_V_BA_2019,GBN_H_BG_2019,BMO1_V_SP_2019,VPG_H_CG_2022,NBG_V_BG_2022,OVB_V_BG_2022,PGP_H_CG_2022,MGV_V_BG_2022,BNwing_CG_2022,ONM_V_BG_2022,ONO_V_BG_2022,VPM_H_CG_2022,NBO_V_SP_2019,ONO_V_BG_2022,OMB_V_BG_2022,PVBsm_CG_2022,BVG_V_BG_2022,BVG_V_BG_2022,VMV_V_BG_2022,PVG_H_CG_2022,POM_V_SP_2019,PVM_H_CG_2022,VPB_H_CG_2022,TPOP_V_SP_2019,VPM_H_CG_2022,Lawrence_WT,Shakespeare_WT,Polly_WT,Polly_WT,Chesea_WT,King_Monkey_WT,Doepel_WT,
OBO_V_BG_2022,,,,,0.961145535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961145535
OGV_V_BG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975937587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97593
VNP_H_CG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965219323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965219323
OGV_V_SP_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.951820992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.951820992
GVB_V_BG_2022,0.961145535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961145535
BPN_H_CG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.970003594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.970003594
BGB_H_SP_2019,,,,,,,,,0.989551676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989551676
BGB_H_SP_2019,,,,,,,,,,0.992459315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992459315
BGB_H_SP_2019,,,,,,,0.989551676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989551676
BTN_V_SP_2019,,,,,,,,0.992459315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992459315
VBV_V_BG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.960679496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.960679496
MN_V_BG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.971283229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.971283229
GOM_V_SP_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99346018,,,,,,,,,,,,0.99346018
VMO_V_BG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982719816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982719816
VMT_V_WO_2019,,,,,,,,,,,,,,,,,0.993789166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993789166
GNG_V_BG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9734459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9734459
VNT_V_WO_2019,,,,,,,,,,,,,,,0.993789166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993789166
BMO2_V_SP_2019,,,,,,,,,,,,,,,,,,,0.992944247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995008749,,,,,,,,,,,,,,,,,,,,0.995008749
BMO2_V_SP_2019,,,,,,,,,,,,,,,,,,0.992944247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992265002,,,,,,,,,,,,,,,,,,,,0.992944247
BGTO_V_SP_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.988544277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.988544277
BPO_V_SP_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987972751,,,,,,,,,0.987972751
GPG_H_CG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.959424676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.959424676
BMO1_V_SP_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991514551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991514551
GBP_H_CG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965961911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965961911
UK3_NU_2019,,,,,,,,,,,,,,,,,,,,,,,,,,0.965554376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965554376
UK4_NU_2019,,,,,,,,,,,,,,,,,,,,,,,,,0.965554376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965554376
VTP_V_WO_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995231198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995231198
PBV_H_CG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.955534376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.955534376
VTG_V_WO_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995231198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995231198
NBO_V_BG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982730603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982730603
PBG_H_CG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9788473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9788473
OMP_V_BA_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965198456,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965198456
OMB_V_BA_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989317388,0.987086574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989317388
VPO_V_BA_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993659929,0.992355907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993659929
Polly_WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.983049518,,,,0.983049518
BGO_V_BA_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.990816446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.990816446
PMmiddle_CG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982828411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982828411
OPB_V_BA_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989317388,,,,,,0.992264286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992264286
OPB_V_BA_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987086574,,,,,0.992264286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992264286
GO_H_BG_2019,,,,,,,,,,,,0.971283229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.971283229
Heidi_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.956812652,,,0.956812652
PGV_H_CG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.977260023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.977260023
GOT_H_BG_2019,,,,,,,,,,,,,,0.982719816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982719816
Lawrence_WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994933985,,,,,,,0.994933985
Atticus_WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.957279894,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.957279894
GVO_H_BG_2019,,0.975937587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975937587
Monster_WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991146101,0.991146101
PVB_H_CG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.973872073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964743875,,,,,,,,,,,,,,,,,0.973872073
TG_H_CG_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975599701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975599701
TNG_H_CG_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.988897441,,0.990994883,0.989702998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.976097299,,,,,,,,,,,,,,,,,,,,,,,,0.990994883
TNG_H_CG_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.988897441,,,0.99071412,0.993284688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.978315273,,,,,,,,,,,,,,,,,,,,,,,,0.993284688
TVT_H_CG_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.969959981,,,,,,,,,,,,,,,,,,,0.994330557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994330557
VNT_H_CG_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.990994883,0.99071412,,,0.991631459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.977233415,,,,,,,,,,,,,,,,,,,,,,,,0.991631459
VNT_H_CG_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989702998,0.993284688,,0.991631459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.979302832,,,,,,,,,,,,,,,,,,,,,,,,0.993284688
